area_type,availability,location,size,total_sqft,bath,balcony,price,Distance_to_nearest_MRT_station_m
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,1325,2,2,60.8,3444.91
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,1499,5,2,102,5176.88
Built-up  Area,Ready To Move,Hegde Nagar,6 BHK,3000,7,2,210,5276.28
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1665,3,2,88,1675.53
Super built-up  Area,17-Sep,Dasanapura,2 BHK,708,2,2,37,7462.9
Super built-up  Area,Ready To Move,Kasavanhalli,2 BHK,1060,2,2,58.06,9210.49
Plot  Area,Ready To Move,Rajaji Nagar,6 BHK,710,6,3,160,536.11
Built-up  Area,Ready To Move,Sanjay nagar,2 BHK,1000,2,2,70,3837.16
Super built-up  Area,18-Dec,Electronic City,2 BHK,1000,2,1,28.88,1655.89
Super built-up  Area,Ready To Move,Mysore Highway,3 BHK,1450,2,2,70,8325.5
Plot  Area,Ready To Move,ISRO Layout,4 BHK,1200,4,2,155,6928.94
Super built-up  Area,17-Aug,Thanisandra,2 BHK,1296,2,3,80,1725.16
Super built-up  Area,Ready To Move,Domlur,3 BHK,1540,3,2,90,1392.55
Plot  Area,Ready To Move,Kengeri,4 BHK,2894,4,1,245,1427.28
Super built-up  Area,Ready To Move,Sarjapura - Attibele Road,3 BHK,1330,2,1,48,5992.79
Built-up  Area,Ready To Move,Devasthanagalu,2 BHK,1200,2,1,65,3177.93
Built-up  Area,Ready To Move,T Dasarahalli,3 BHK,1200,3,1,90,3755.24
Super built-up  Area,Ready To Move,Yeshwanthpur,3 BHK,2502,3,3,138,315.71
Built-up  Area,Ready To Move,Chandapura,2 BHK,650,1,1,17,5909.23
Plot  Area,Ready To Move,Kothanur,3 BHK,2400,2,1,150,2628.71
Super built-up  Area,Ready To Move,Green View Layout,2 BHK,1007,2,2,43,6559.99
Super built-up  Area,Ready To Move,Shantiniketan Layout,2 BHK,1200,2,2,50,9352.97
Super built-up  Area,Ready To Move,Peenya,2 BHK,966,2,2,49.9,424.65
Built-up  Area,Ready To Move,Nagarbhavi,3 BHK,1630,2,1,98,5872.68
Built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,1640,3,2,229,677.78
Built-up  Area,Ready To Move,Jalahalli West,2 BHK,782,2,2,55.68,4601.59
Super built-up  Area,19-Apr,Devanahalli,2 BHK,1260,2,2,66.78,4230.94
Super built-up  Area,Ready To Move,Lakshmiamma Garden,3 BHK,1800,3,3,120,5028.26
Super built-up  Area,Ready To Move,Byatarayanapura,3 BHK,1413,2,2,75,4128.55
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1116,2,1,51.91,1915.64
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1530,2,1,45.9,1769.74
Built-up  Area,Ready To Move,Ramamurthy Nagar,4 BHK,3700,4,1,225,1560.08
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,2497,3,2,140,1845.75
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1540,2,3,64,1764.41
Super built-up  Area,18-Dec,Thanisandra,3 BHK,1436,3,1,74.75,1023.88
Super built-up  Area,18-Jun,Malleshwaram,2 BHK,1100,2,2,75,9247.91
Plot  Area,Ready To Move,Hennur Road,2 BHK,276,3,3,23,6775.4
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1427,3,2,120,1768.93
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,2061,3,1,200,9272.64
Super built-up  Area,18-Mar,Hebbal,4 BHK,5611.5,4,0,477,1181.6
Built-up  Area,Ready To Move,Shampura,4 BHK,2650,4,2,150,3770.36
Super built-up  Area,22-Dec,Devanahalli,3 BHK,1282,2,2,68.52,4683.81
Built-up  Area,Ready To Move,Kadugodi,2 BHK,1050,2,1,34,1312.53
Built-up  Area,Ready To Move,LB Shastri Nagar,3 BHK,1600,3,2,65,8726.1
Super built-up  Area,22-Jan,Vajarahalli,2 BHK,945,2,1,54,9025.11
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1500,2,1,78,3048.66
Plot  Area,Ready To Move,Vishwapriya Layout,7 BHK,950,7,0,115,6575.23
Built-up  Area,Ready To Move,Peenya,3 BHK,1870,3,3,110,508.71
Plot  Area,Ready To Move,Sarjapur,3 BHK,1600,3,1,75,1066.53
Super built-up  Area,Ready To Move,Electronic City,2 BHK,880,1,1,16.5,943.84
Plot  Area,Ready To Move,Ramaswamy Palya - Kammanahalli Main Road,4 BHK,1200,4,0,210,5363.31
Super built-up  Area,Ready To Move,Kudlu Gate,3 BHK,1535,3,2,83,9600.37
Built-up  Area,Ready To Move,Kanakpura Road,2 BHK,950,2,1,57,1187.84
Super built-up  Area,18-Aug,Devanahalli,2 BHK,1360,2,1,65,5556.37
Super built-up  Area,19-Mar,8th Phase JP Nagar,2 BHK,1073.5,2,0,54.005,7921.13
Super built-up  Area,18-May,Bommasandra Industrial Area,3 BHK,1280,3,1,50.4,5545.41
Super built-up  Area,19-Jan,Chandra Layout,3 BHK,1260,2,2,85.05,9802.47
Built-up  Area,Ready To Move,Hennur Road,8 BHK,5000,8,2,250,9737.13
Super built-up  Area,19-Dec,Yelahanka,5 BHK,3050,5,1,213,1102.14
Super built-up  Area,Ready To Move,Kasavanhalli,3 BHK,1563.05,3,1,105,6480.74
Super built-up  Area,Ready To Move,ISRO Layout,2 BHK,1000,2,1,60,5106.15
Super built-up  Area,17-Jul,Anandapura,2 BHK,1167,2,1,43.76,4993.88
Super built-up  Area,Ready To Move,Vishveshwarya Layout,7 BHK,4000,7,2,225,3258.21
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1828,3,2,110,3219.13
Super built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,890,2,1,35,6518.75
Super built-up  Area,Ready To Move,Basavanapura,3 BHK,1612,3,3,46.74,3360.35
Plot  Area,Ready To Move,Dinnur,6 BHK,1034,5,2,185,4950.53
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1710,4,2,91.31,1889.92
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2,1,58,4676.93
Super built-up  Area,18-May,Devarachikkanahalli,3 BHK,1250,2,3,44,2289.79
Super built-up  Area,Ready To Move,Sanjeevini Nagar,3 BHK,2795,4,2,235,6426.17
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1125,2,2,50,1982.78
Super built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1020,2,1,30.6,1090.47
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2,2,50,7704.95
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1735,3,3,135,1713.94
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2050,3,1,145,1085.17
Plot  Area,Ready To Move,Mahalakshmi Layout,4 BHK,3750,4,0,760,3456.43
Built-up  Area,Ready To Move,Yarandahalli,3 BHK,1350,2,3,48,5574.48
Super built-up  Area,18-May,Hosa Road,2 BHK,1063,2,1,32,7426.14
Super built-up  Area,Ready To Move,Keshava Nagar,3 BHK,1904,3,1,150,7434.71
Built-up  Area,Ready To Move,Whitefield,4 BHK,4200,4,2,420,1442.93
Super built-up  Area,Ready To Move,RMV Extension,3 BHK,2000,3,1,175,3632.03
Super built-up  Area,18-Dec,Sarjapur,2 BHK,1242.5,2,0,43.49,1802.36
Super built-up  Area,Ready To Move,Tejaswini Nagar,3 BHK,1425,2,2,75,5245.46
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1500,2,1,64.5,1023.82
Built-up  Area,Ready To Move,Electronic City,2 BHK,1060,2,1,60,848.93
Built-up  Area,Ready To Move,Jai Bheema Nagar,3 BHK,1470,2,2,70,7136.25
Super built-up  Area,Ready To Move,Kothnur Narayanapura,6 BHK,1300,6,0,99,7742.95
Super built-up  Area,Ready To Move,Attibele,1 BHK,450,1,1,11,4049.76
Super built-up  Area,18-Apr,Electronic City,2 BHK,1152,2,1,64.5,1414.51
Super built-up  Area,Ready To Move,Electronic City,3 BHK,1350,2,1,56,1071.79
Super built-up  Area,Ready To Move,CV Raman Nagar,3 BHK,1550,3,3,65,1574.21
Plot  Area,Ready To Move,CHIKKATIRUPATHI,3 BHK,1500,3,2,100,4220.57
Plot  Area,Ready To Move,Kumaraswami Layout,5 BHK,600,3,2,85,7836.56
Plot  Area,Ready To Move,Nagavara,1 BHK,400,1,0,14,1264.08
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,705,1,2,67,9557.11
Built-up  Area,Ready To Move,Electronic City,2 BHK,770,1,1,36,965.03
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,1242,2,3,51,1209.28
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1700,3,2,155,3794.31
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,2144,3,2,145,1909.63
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1704,3,2,110,3754.68
Super built-up  Area,Ready To Move,Electronic City,2 BHK,1070,2,1,52,1109.53
Plot  Area,Ready To Move,8th block Koramangala,3 BHK,1846,3,2,300,7619.89
Super built-up  Area,Ready To Move,Jakkuru Layout,2 BHK,1340,2,2,55.7,8720.56
Built-up  Area,Ready To Move,Electronic City,2 BHK,1025,2,1,46,1466.24
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1277.5,2,0,56.8,1435.58
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2,2,52,1090.22
Built-up  Area,18-Dec,Kanakpura Road,4 BHK,2250,4,1,110,911.72
Super built-up  Area,Ready To Move,Pattandur Agrahara,3 BHK,1550,2,3,80,9280.51
Plot  Area,Ready To Move,Bellandur,4 BHK,1200,5,2,325,1880.5
Plot  Area,Ready To Move,Ejipura,7 BHK,1800,7,1,250,1559.72
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,1200,2,2,60,1206.84
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,1327,2,2,98,1219.05
Super built-up  Area,Ready To Move,Kothanur,2 BHK,1186,2,2,58,3451.91
Built-up  Area,Ready To Move,MS Pallya,3 BHK,1783,3,1,115,9279.77
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,1400,3,2,56,1864.5
Super built-up  Area,Ready To Move,Nagasandra,2 BHK,980,2,1,48,8459.13
Super built-up  Area,Ready To Move,EPIP Zone,2 BHK,1285,2,2,82,7494.22
Super built-up  Area,Ready To Move,Langford Town,3 BHK,912,2,1,70,3588.98
Built-up  Area,Ready To Move,Whitefield,2 BHK,1225,2,2,47.6,993.95
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1075,2,1,53,1878.27
Built-up  Area,Ready To Move,Kadugodi,3 BHK,1260,2,2,54,1527.71
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1282,2,2,48.7,811.04
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1909,3,2,88,2202.94
Super built-up  Area,Ready To Move,Panathur,2 BHK,1359,2,1,87,5990.51
Built-up  Area,Ready To Move,Nagondanahalli,2 BHK,1207,2,2,43.5,3035.43
Plot  Area,Ready To Move,Padmanabhanagar,4 BHK,1736,6,0,190,4125.66
Super built-up  Area,20-May,1st Block Jayanagar,4 BHK,2850,4,1,428,6841.14
Super built-up  Area,Ready To Move,Kammasandra,3 BHK,1595,3,2,65,7843.27
Built-up  Area,18-Jun,"Off Sarjapur Road,",3 BHK,1798,3,2,89,7563.73
Super built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1475,3,2,78.29,1069.12
Super built-up  Area,Ready To Move,Tala Cauvery Layout,3 BHK,1580,3,3,100,7985.25
Super built-up  Area,Ready To Move,Dasarahalli,2 BHK,1295,2,1,65,4660.74
Built-up  Area,Ready To Move,Magadi Road,6 BHK,3600,6,0,141,5277.8
Super built-up  Area,Ready To Move,Electronic City,1 BHK,589,1,1,27,1695.79
Super built-up  Area,Ready To Move,Ngef Layout,3 BHK,1415,3,3,78,7547.43
Super built-up  Area,18-Dec,Sarjapur  Road,3 BHK,1787,3,2,98.29,1819.07
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1787,3,2,125,1589.14
Super built-up  Area,Ready To Move,Koramangala,3 BHK,1475,2,3,90,584.15
Built-up  Area,Ready To Move,"Lakshminarayanapura, Electronic City Phase 2",4 BHK,2000,4,1,75.5,3655.72
Super built-up  Area,19-Mar,Sarjapur  Road,2 BHK,984,2,1,44.28,1241.26
Super built-up  Area,19-Dec,Devanahalli,3 BHK,1630,2,2,74.82,4795.61
Super built-up  Area,Ready To Move,Muthurayya Swamy Layout,3 BHK,2405,4,2,260,4707.93
Built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1080,2,2,72,3946.02
Plot  Area,Ready To Move,Shantiniketan Layout,2 BHK,1500,2,1,115,5751.68
Super built-up  Area,Ready To Move,Hebbal,3 BHK,1900,3,2,119,1870.46
Super built-up  Area,19-Aug,Dommasandra,2 BHK,805,2,1,22.14,5893.42
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2,2,56.4,6384.43
Super built-up  Area,Ready To Move,Dodda Nekkundi Extension,2 BHK,1148,2,2,60,6518.46
Super built-up  Area,Ready To Move,Mylasandra,2 BHK,1110,2,2,55,7038.33
Built-up  Area,Ready To Move,Electronic City,2 BHK,1100,2,2,42,1391.02
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,1290,2,2,110,4366.7
Super built-up  Area,Ready To Move,Dr Shivarama Karantha Nagar,3 BHK,1500,2,1,65,8057.16
Super built-up  Area,18-Apr,Bank Of Baroda Colony,2 BHK,1080,2,2,39,4965.41
Super built-up  Area,21-Jun,Vijayanagar,3 BHK,1933,3,1,129,2048.63
Built-up  Area,Ready To Move,Ramamurthy Nagar,5 BHK,3500,5,2,150,1574.57
Built-up  Area,Ready To Move,Kullappa Colony,2 BHK,1060,2,2,60,4239.77
Super built-up  Area,18-Aug,Chandapura,1 BHK,645,1,1,16.45,6821.38
Plot  Area,Ready To Move,Mukkutam Nagar,8 BHK,2600,8,2,180,9677.5
Super built-up  Area,18-Sep,Chandapura,1 BHK,645,1,1,16.45,6744.59
Super built-up  Area,Ready To Move,Ashwath Nagar,3 BHK,1644,3,3,84,5591.11
Super built-up  Area,Ready To Move,Ncpr Industrial Layout,2 BHK,1285,2,3,72.5,3108.2
Plot  Area,Ready To Move,Electronic City,3 BHK,1200,3,1,90,1913.98
Super built-up  Area,Ready To Move,Electronic City,2 BHK,910,2,1,40,1313.82
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1577,3,1,70,3933.31
Plot  Area,17-May,Meenakunte,3 BHK,4050,3,2,280,9745.34
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,2420,3,2,185,8971.07
Super built-up  Area,Ready To Move,Chandapura,2 BHK,800,1,1,20,4883.35
Built-up  Area,Ready To Move,Anand Nagar,2 BHK,1060,2,2,55,5695.68
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1270,2,2,93,3702.27
Super built-up  Area,18-Jun,Shree Ananth Nagar Layout,2 BHK,900,2,2,22.5,5218.45
Built-up  Area,Ready To Move,Kundalahalli Colony,2 BHK,1280,2,1,69,4186.45
Plot  Area,Ready To Move,Horamavu Agara,4 BHK,1200,2,0,95,6897.61
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1025,2,2,36,1923.39
Super built-up  Area,17-Jun,Electronic City,2 BHK,1108,2,1,63,1635.24
Plot  Area,Ready To Move,MCECHS  layout,5 BHK,1200,5,2,170,6990.43
Super built-up  Area,Ready To Move,Coffee Board Layout,3 BHK,3045,3,2,170,3680.24
Plot  Area,Ready To Move,Ambedkar Nagar,4 BHK,2900,3,2,300,7305.05
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1500,3,2,75.5,3980.11
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2,2,43.9,2280.17
Super built-up  Area,Ready To Move,Budigere,2 BHK,1162,2,1,59.9,5554.99
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1035,2,2,49.2,1852.85
Built-up  Area,Ready To Move,Attibele,4 BHK,1600,4,0,52.8,6222.31
Super built-up  Area,Ready To Move,KUDLU MAIN ROAD,3 BHK,1464,3,2,46,7879.11
Super built-up  Area,18-Oct,Hennur Road,3 BHK,1866,2,2,61.58,7917.39
Super built-up  Area,Ready To Move,Geleyara Balaga Layout,2 BHK,700,1,1,26,5516.44
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1804,3,2,120,5055.14
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,913,2,1,32,1771.23
Super built-up  Area,21-Dec,Talaghattapura,3 BHK,1868,3,2,131,8670.79
Built-up  Area,Ready To Move,Kengeri Satellite Town,2 BHK,883,2,1,45,9069.51
Plot  Area,Ready To Move,Sundara Nagar,2 BHK,900,2,1,110,9392.68
Super built-up  Area,Ready To Move,Kogilu,3 BHK,1664,2,3,73.95,3022.68
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,2026,3,2,132,6510.61
Super built-up  Area,Ready To Move,Balagere,2 BHK,1210,2,1,80.9,8588.07
Plot  Area,Ready To Move,Meenakunte,4 BHK,4111,4,2,250,7549.75
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,1762,3,3,91.45,1642.36
Super built-up  Area,Ready To Move,Jigani,3 BHK,1252,3,3,55,6387.38
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,861,2,1,34.5,9230.04
Built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,1420,2,1,100,2675.99
Plot  Area,Ready To Move,Srirampura,6 BHK,1450,6,0,250,5629.08
Built-up  Area,Ready To Move,Electronics City Phase 1,3 BHK,1490,3,1,78.8,912.78
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2,1,46,3156.56
Super built-up  Area,18-Aug,Old Madras Road,3 BHK,1425,2,2,94,3251.6
Built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1200,2,1,40,6259.19
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,1280,2,2,56,3085.29
Super built-up  Area,Ready To Move,Silver Springs Layout,2 BHK,1084,2,2,50,5005.79
Super built-up  Area,18-Jul,Chandapura,2 BHK,1015,2,2,25.88,5772.5
Super built-up  Area,21-May,Kanakpura Road,2 BHK,1017,2,1,51.25,836.6
Super built-up  Area,Ready To Move,Haralur Road,2 BHK,1027,2,2,44,844.82
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,1069,2,2,45,1787.12
Super built-up  Area,Ready To Move,Hebbal,2 BHK,1349,2,1,98.2,1232.23
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,1005,2,1,50,3889.42
Super built-up  Area,Ready To Move,Jakkur,2 BHK,1417,2,3,75,6655.7
Plot  Area,18-Jan,TC Palaya,3 BHK,1475,3,1,98,8389.95
Carpet  Area,Ready To Move,Maruthi Sevanagar,2 BHK,950,2,2,47,4510.75
Super built-up  Area,Ready To Move,RMV 2nd Stage,4 BHK,2000,4,0,120,7360.23
Plot  Area,Ready To Move,Giri Nagar,3 BHK,880,3,1,140,3597.43
Super built-up  Area,Ready To Move,Sarjapur  Road,4 BHK,1863,3,2,104,862.02
Super built-up  Area,Ready To Move,Singasandra,2 BHK,1010,2,1,29.5,6719.48
Super built-up  Area,Ready To Move,Kalena Agrahara,3 BHK,1425,2,1,70,6784.45
Super built-up  Area,Ready To Move,Vijayanagar,3 BHK,1450,3,0,100,3274.86
Super built-up  Area,Ready To Move,Kothanur,3 BHK,1847,3,2,105,3452.18
Super built-up  Area,Ready To Move,AECS Layout,2 BHK,1100,2,3,45,9830.96
Super built-up  Area,20-Dec,Kanakpura Road,1 BHK,525,1,1,26,1419.56
Super built-up  Area,Ready To Move,Mallasandra,3 BHK,1665,3,2,95,5260.7
Super built-up  Area,Ready To Move,Begur,4 BHK,1664,4,3,65,6385.56
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,1850,3,3,150,435.42
Super built-up  Area,Ready To Move,Panathur,2 BHK,1438,2,3,100,5316.91
Super built-up  Area,Ready To Move,Sunder Ram Shetty Nagar,3 BHK,1560,3,3,115,3549.19
Super built-up  Area,18-Apr,Yelahanka,2 BHK,1350,2,1,55.55,830.42
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3,3,67,1955.18
Super built-up  Area,18-Apr,Malleshpalya,2 BHK,1140,2,2,46.5,8851.86
